DAQ Chan	ADC Name	ADC Chan	Chan Name
337	grifadc138	7	TIG10RP08x
338	grifadc138	8	TIG10RN00B
339	grifadc138	9	TIG10RN00A
340	grifadc138	10	TIS10RN01x
341	grifadc138	11	TIS10RN02x
342	grifadc138	12	TIS10RN03x
343	grifadc138	13	TIS10RN04x
344	grifadc138	14	TIS10RN05x
345	grifadc139	0	TIG10WP01x
346	grifadc139	1	TIG10WP02x
347	grifadc139	2	TIG10WP03x
348	grifadc139	3	TIG10WP04x
349	grifadc139	4	TIG10WP05x
350	grifadc139	5	TIG10WP06x
351	grifadc139	6	TIG10WP07x
352	grifadc139	7	TIG10WP08x
353	grifadc139	8	TIG10WN00B
354	grifadc139	9	TIG10WN00A
355	grifadc139	10	TIS10WN01x
356	grifadc139	11	TIS10WN02x
357	grifadc139	12	TIS10WN03x
358	grifadc139	13	TIS10WN04x
359	grifadc139	14	TIS10WN05x
360	grifadc100	0	TIG11BP01x
361	grifadc100	1	TIG11BP02x
362	grifadc100	2	TIG11BP03x
363	grifadc100	3	TIG11BP04x
364	grifadc100	4	TIG11BP05x
365	grifadc100	5	TIG11BP06x
366	grifadc100	6	TIG11BP07x
367	grifadc100	7	TIG11BP08x
368	grifadc100	8	TIG11BN00B
369	grifadc100	9	TIG11BN00A
370	grifadc100	10	TIS11BN01x
371	grifadc100	11	TIS11BN02x
372	grifadc100	12	TIS11BN03x
373	grifadc100	13	TIS11BN04x
374	grifadc100	14	TIS11BN05x
375	grifadc101	0	TIG11GP01x
376	grifadc101	1	TIG11GP02x
377	grifadc101	2	TIG11GP03x
378	grifadc101	3	TIG11GP04x
379	grifadc101	4	TIG11GP05x
380	grifadc101	5	TIG11GP06x
381	grifadc101	6	TIG11GP07x
382	grifadc101	7	TIG11GP08x
383	grifadc101	8	TIG11GN00B
384	grifadc101	9	TIG11GN00A
385	grifadc101	10	TIS11GN01x
386	grifadc101	11	TIS11GN02x
387	grifadc101	12	TIS11GN03x
388	grifadc101	13	TIS11GN04x
389	grifadc101	14	TIS11GN05x
390	grifadc102	0	TIG11RP01x
391	grifadc102	1	TIG11RP02x
392	grifadc102	2	TIG11RP03x
393	grifadc102	3	TIG11RP04x
394	grifadc102	4	TIG11RP05x
395	grifadc102	5	TIG11RP06x
396	grifadc102	6	TIG11RP07x
397	grifadc102	7	TIG11RP08x
398	grifadc102	8	TIG11RN00B
399	grifadc102	9	TIG11RN00A
400	grifadc102	10	TIS11RN01x
401	grifadc102	11	TIS11RN02x
402	grifadc102	12	TIS11RN03x
403	grifadc102	13	TIS11RN04x
404	grifadc102	14	TIS11RN05x
405	grifadc104	0	TIG11WP01x
406	grifadc104	1	TIG11WP02x
407	grifadc104	2	TIG11WP03x
408	grifadc104	3	TIG11WP04x
409	grifadc104	4	TIG11WP05x
410	grifadc104	5	TIG11WP06x
411	grifadc104	6	TIG11WP07x
412	grifadc104	7	TIG11WP08x
413	grifadc104	8	TIG11WN00B
414	grifadc104	9	TIG11WN00A
415	grifadc104	10	TIS11WN01x
416	grifadc104	11	TIS11WN02x
417	grifadc104	12	TIS11WN03x
418	grifadc104	13	TIS11WN04x
419	grifadc104	14	TIS11WN05x
420	null	0	TIG12BP01x
421	null	1	TIG12BP02x
422	null	2	TIG12BP03x
423	null	3	TIG12BP04x
424	null	4	TIG12BP05x
425	null	5	TIG12BP06x
426	null	6	TIG12BP07x
427	null	7	TIG12BP08x
428	null	8	TIG12BN00B
429	null	9	TIG12BN00A
430	null	10	TIS12BN01x
431	null	11	TIS12BN02x
432	null	12	TIS12BN03x
433	null	13	TIS12BN04x
434	null	14	TIS12BN05x
435	grifadc145	0	TIG12GP01x
436	grifadc145	1	TIG12GP02x
437	grifadc145	2	TIG12GP03x
438	grifadc145	3	TIG12GP04x
439	grifadc145	4	TIG12GP05x
440	grifadc145	5	TIG12GP06x
441	grifadc145	6	TIG12GP07x
442	grifadc145	7	TIG12GP08x
443	grifadc145	8	TIG12GN00B
444	grifadc145	9	TIG12GN00A
445	grifadc145	10	TIS12GN01x
446	grifadc145	11	TIS12GN02x
447	grifadc145	12	TIS12GN03x
448	grifadc145	13	TIS12GN04x
449	grifadc145	14	TIS12GN05x
450	grifadc154	0	TIG12RP01x
451	grifadc154	1	TIG12RP02x
452	grifadc154	2	TIG12RP03x
453	grifadc154	3	TIG12RP04x
454	grifadc154	4	TIG12RP05x
455	grifadc154	5	TIG12RP06x
456	grifadc154	6	TIG12RP07x
457	grifadc154	7	TIG12RP08x
458	grifadc154	8	TIG12RN00B
459	grifadc154	9	TIG12RN00A
460	grifadc154	10	TIS12RN01x
461	grifadc154	11	TIS12RN02x
462	grifadc154	12	TIS12RN03x
463	grifadc154	13	TIS12RN04x
464	grifadc154	14	TIS12RN05x
465	grifadc147	0	TIG12WP01x
466	grifadc147	1	TIG12WP02x
467	grifadc147	2	TIG12WP03x
468	grifadc147	3	TIG12WP04x
469	grifadc147	4	TIG12WP05x
470	grifadc147	5	TIG12WP06x
471	grifadc147	6	TIG12WP07x
472	grifadc147	7	TIG12WP08x
473	grifadc147	8	TIG12WN00B
474	grifadc147	9	TIG12WN00A
475	grifadc147	10	TIS12WN01x
476	grifadc147	11	TIS12WN02x
477	grifadc147	12	TIS12WN03x
478	grifadc147	13	TIS12WN04x
479	grifadc147	14	TIS12WN05x
480	grifadc134	0	TIG13BP01x
481	grifadc134	1	TIG13BP02x
482	grifadc134	2	TIG13BP03x
483	grifadc134	3	TIG13BP04x
484	grifadc134	4	TIG13BP05x
485	grifadc134	5	TIG13BP06x
486	grifadc134	6	TIG13BP07x
487	grifadc134	7	TIG13BP08x
488	grifadc134	8	TIG13BN00B
489	grifadc134	9	TIG13BN00A
490	grifadc134	10	TIS13BN01x
491	grifadc134	11	TIS13BN02x
492	grifadc134	12	TIS13BN03x
493	grifadc134	13	TIS13BN04x
494	grifadc134	14	TIS13BN05x
495	grifadc135	0	TIG13GP01x
496	grifadc135	1	TIG13GP02x
497	grifadc135	2	TIG13GP03x
498	grifadc135	3	TIG13GP04x
499	grifadc135	4	TIG13GP05x
500	grifadc135	5	TIG13GP06x
501	grifadc135	6	TIG13GP07x
502	grifadc135	7	TIG13GP08x
503	grifadc135	8	TIG13GN00B
504	grifadc135	9	TIG13GN00A
505	grifadc135	10	TIS13GN01x
506	grifadc135	11	TIS13GN02x
507	grifadc135	12	TIS13GN03x
